heure;IP source;IP destination;Flag;seq;lenght
11:42:05;BP-Linux8.ssh;IP;[P.],;192.168.190.130.50019:;"108
"
11:42:05;BP-Linux8.ssh;IP;[P.],;192.168.190.130.50019:;"36
"
11:42:05;BP-Linux8.ssh;IP;[P.],;192.168.190.130.50019:;"108
"
11:42:05;BP-Linux8.ssh;IP;[P.],;192.168.190.130.50019:;"36
"
11:42:05;192.168.190.130.50019;IP;[.],;BP-Linux8.ssh:;"0
"
11:42:05;192.168.190.130.50019;IP;[.],;BP-Linux8.ssh:;"0
"
11:42:05;192.168.190.130.50019;IP;[.],;BP-Linux8.ssh:;"0
"
11:42:05;192.168.190.130.50019;IP;[.],;BP-Linux8.ssh:;"0
"
11:42:06;BP-Linux8.58466;IP;PTR?;ns1.lan.rt.domain:;"(46)
"
11:42:06;ns1.lan.rt.domain;IP;NXDomain;BP-Linux8.58466:;"(112)
"
11:42:07;192.168.190.130.50245;IP;[P.],;BP-Linux8.ssh:;"36
"
11:42:07;BP-Linux8.ssh;IP;[P.],;192.168.190.130.50245:;"36
"
11:42:07;BP-Linux8.53220;IP;A?;ns1.lan.rt.domain:;"(31)
"
11:42:07;ns1.lan.rt.domain;IP;1/0/0;BP-Linux8.53220:;"(47)
"
11:42:07;BP-Linux8.ssh;IP;[P.],;192.168.190.130.50245:;"116
"
11:42:07;BP-Linux8.ssh;IP;[P.],;192.168.190.130.50245:;"36
"
11:42:07;190-0-175-100.gba.solunet.com.ar.2465;IP;[S],;184.107.43.74.http:;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2466;IP;[S],;184.107.43.74.http:;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2467;IP;[S],;184.107.43.74.http:;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2468;IP;[S],;184.107.43.74.http:;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2469;IP;[S],;184.107.43.74.http:;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2470;IP;[S],;184.107.43.74.http:;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2471;IP;[S],;184.107.43.74.http:;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2472;IP;[S],;184.107.43.74.http:;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2473;IP;[S],;184.107.43.74.http:;120:
